gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B_cell	CancerHR-proficient	CancerHRD	DC	EC	Fibroblast	Mast	Myeloid	T_cell
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS09D722BE6	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0F6EF74BE	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0E2A9E72A	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0D1C88065	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0CD275AB1	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS073016411	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0DFEE920D	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0CCD3D0A1	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS05FC0F405	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS01757E3CC	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS000EEBB11	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS05DE238C6	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0F9D91F7C	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0C63C1412	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS03B3709D5	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
FZD9	O00144	True	FZD9_HUMAN	FZD9_LRP6	CPI-CS0A54AB810	0.0	0.001	0.012	0.0	0.001	0.001	0.0	0.002	0.0
B2M	P61769	True	B2MG_HUMAN	FcRn_complex	CPI-CS0FC62E03D	0.171	0.363	0.214	1.081	1.08	0.694	0.207	1.686	0.08
FCGRT	P55899	True	FCGRN_HUMAN	FcRn_complex	CPI-CS0FC62E03D	0.171	0.363	0.214	1.081	1.08	0.694	0.207	1.686	0.08
GALR1	P47211	True	GALR1_HUMAN	GALR1	CPI-CS078789914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR151	Q8TDV0	True	GP151_HUMAN	GALR1	CPI-CS078789914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR151	Q8TDV0	True	GP151_HUMAN	GALR2	CPI-CS003A1148E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
GPR151	Q8TDV0	True	GP151_HUMAN	GALR2	CPI-CS0253C9C61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
GPR151	Q8TDV0	True	GP151_HUMAN	GALR3	CPI-CS0CF4C33B4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GPR151	Q8TDV0	True	GP151_HUMAN	GALR3	CPI-CS02C8078A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR2	O43603	True	GALR2_HUMAN	GALR2	CPI-CS003A1148E	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
GALR2	O43603	True	GALR2_HUMAN	GALR2	CPI-CS0253C9C61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
GALR3	O60755	True	GALR3_HUMAN	GALR3	CPI-CS0CF4C33B4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	True	GALR3_HUMAN	GALR3	CPI-CS02C8078A6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CSF2RB	P32927	True	IL3RB_HUMAN	GMCSFR	CPI-CS0210859AB	0.004	0.008	0.011	0.554	0.002	0.003	0.018	0.225	0.001
CSF2RB	P32927	True	IL3RB_HUMAN	IL3_receptor	CPI-CS0784DAA1D	0.005	0.008	0.005	0.554	0.232	0.003	0.019	0.039	0.002
CSF2RB	P32927	True	IL3RB_HUMAN	IL5_receptor	CPI-CS089A1A4BF	0.016	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.004
CSF2RA	P15509	True	CSF2R_HUMAN	GMCSFR	CPI-CS0210859AB	0.004	0.008	0.011	0.554	0.002	0.003	0.018	0.225	0.001
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0B6CBE509	0.0	0.13	0.007	0.0	0.003	0.002	2.048	0.002	0.001
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS045AC7D7C	0.0	0.13	0.007	0.0	0.003	0.002	2.048	0.002	0.001
HDC	P19113	True	DCHS_HUMAN	Histamine_byHDC	CPI-CS0FF6E7611	0.0	0.13	0.007	0.0	0.003	0.002	2.048	0.002	0.001
IGF1R	P08069	True	IGF1R_HUMAN	IGF1R_enhancerComGPC3	CPI-CS099D829B9	0.001	0.007	0.011	0.002	0.0	0.153	0.003	0.001	0.003
GPC3	P51654	True	GPC3_HUMAN	IGF1R_enhancerComGPC3	CPI-CS099D829B9	0.001	0.007	0.011	0.002	0.0	0.153	0.003	0.001	0.003
IL10RA	Q13651	True	I10R1_HUMAN	IL10_receptor	CPI-CS090610CD1	0.141	0.037	0.042	0.3	0.015	0.015	0.014	0.453	0.166
IL10RB	Q08334	True	I10R2_HUMAN	IL10_receptor	CPI-CS090610CD1	0.141	0.037	0.042	0.3	0.015	0.015	0.014	0.453	0.166
IL10RB	Q08334	True	I10R2_HUMAN	IL22_receptor	CPI-CS0EB4E25E8	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL10RB	Q08334	True	I10R2_HUMAN	IL26_receptor	CPI-CS0F1386400	0.001	0.069	0.021	0.001	0.002	0.091	0.0	0.001	0.001
IL10RB	Q08334	True	I10R2_HUMAN	IL28_receptor	CPI-CS0A9DE033B	0.053	0.007	0.01	0.165	0.001	0.002	0.0	0.033	0.022
IL11RA	Q14626	True	I11RA_HUMAN	IL11_receptor	CPI-CS0B41A1AAE	0.008	0.022	0.013	0.022	0.028	0.091	0.019	0.021	0.027
IL12A	P29459	True	IL12A_HUMAN	IL12	CPI-CC025CA2E0D	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
IL12A	P29459	True	IL12A_HUMAN	IL35	CPI-CC0D8A77C69	0.017	0.003	0.003	0.0	0.002	0.002	0.005	0.001	0.003
IL12B	P29460	True	IL12B_HUMAN	IL12	CPI-CC025CA2E0D	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0
IL12B	P29460	True	IL12B_HUMAN	IL23	CPI-CC08EF3C145	0.001	0.001	0.001	0.002	0.0	0.0	0.0	0.0	0.0
IL13RA1	P78552	True	I13R1_HUMAN	IL13_receptor	CPI-CS0D2432398	0.042	0.043	0.039	0.165	0.227	0.188	0.008	0.278	0.015
IL13RA1	P78552	True	I13R1_HUMAN	IL13_receptor	CPI-CS02010E82F	0.042	0.043	0.039	0.165	0.227	0.188	0.008	0.278	0.015
IL4R	P24394	True	IL4RA_HUMAN	IL13_receptor	CPI-CS0D2432398	0.042	0.043	0.039	0.165	0.227	0.188	0.008	0.278	0.015
IL4R	P24394	True	IL4RA_HUMAN	IL13_receptor	CPI-CS02010E82F	0.042	0.043	0.039	0.165	0.227	0.188	0.008	0.278	0.015
IL4R	P24394	True	IL4RA_HUMAN	IL4_receptor	CPI-CS0239634F6	0.206	0.043	0.039	0.165	0.089	0.027	0.233	0.278	0.22
IL15RA	Q13261	True	I15RA_HUMAN	IL15_receptor	CPI-CS068959EAB	0.031	0.014	0.029	0.016	0.009	0.021	0.013	0.023	0.083
IL2RB	P14784	True	IL2RB_HUMAN	IL15_receptor	CPI-CS068959EAB	0.031	0.014	0.029	0.016	0.009	0.021	0.013	0.023	0.083
IL2RB	P14784	True	IL2RB_HUMAN	IL2_receptor_HA	CPI-CS0E2BE2DEE	0.031	0.004	0.007	0.01	0.002	0.003	0.005	0.023	0.132
IL2RB	P14784	True	IL2RB_HUMAN	IL2_receptor_I	CPI-CS0EE48BB05	0.031	0.017	0.036	0.016	0.009	0.021	0.013	0.023	0.754
IL17RA	Q96F46	True	I17RA_HUMAN	IL17_receptor_AB	CPI-CS06418F542	0.001	0.015	0.01	0.0	0.002	0.004	0.026	0.002	0.002
IL17RA	Q96F46	True	I17RA_HUMAN	IL17_receptor_AE	CPI-CS02C7E2FBB	0.001	0.055	0.046	0.002	0.01	0.051	0.002	0.011	0.009
IL17RB	Q9NRM6	True	I17RB_HUMAN	IL17_receptor_AB	CPI-CS06418F542	0.001	0.015	0.01	0.0	0.002	0.004	0.026	0.002	0.002
IL17RE	Q8NFR9	True	I17RE_HUMAN	IL17_receptor_AE	CPI-CS02C7E2FBB	0.001	0.055	0.046	0.002	0.01	0.051	0.002	0.011	0.009
IL18R1	Q13478	True	IL18R_HUMAN	IL18_receptor	CPI-CS09E0127D2	0.002	0.002	0.002	0.009	0.001	0.003	0.012	0.004	0.08
IL18R1	Q13478	True	IL18R_HUMAN	IL37_receptor	CPI-CS0EF619259	0.012	0.005	0.006	0.204	0.023	0.032	0.367	0.008	0.09
IL18RAP	O95256	True	I18RA_HUMAN	IL18_receptor	CPI-CS09E0127D2	0.002	0.002	0.002	0.009	0.001	0.003	0.012	0.004	0.08
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1R1	P14778	True	IL1R1_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS0465E25F9	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS093EA33BE	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor	CPI-CS01C6805BA	0.004	0.01	0.026	0.035	0.026	0.048	0.005	0.026	0.021
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL33_receptor	CPI-CS0552A7387	0.0	0.0	0.0	0.0	0.003	0.002	0.038	0.0	0.002
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL36_receptor	CPI-CS03959C2DF	0.0	0.002	0.005	0.008	0.0	0.008	0.0	0.003	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL36_receptor	CPI-CS09B4A8389	0.0	0.002	0.005	0.008	0.0	0.008	0.0	0.003	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS05F37AC7A	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS09CDFC0C5	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL1R2	P27930	True	IL1R2_HUMAN	IL1_receptor_inhibitor	CPI-CS0A13FF479	0.001	0.005	0.01	0.035	0.005	0.006	0.0	0.073	0.025
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL20_receptor_Type_I	CPI-CS0BB947675	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL20_receptor_Type_I	CPI-CS033FF1896	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL20_receptor_Type_I	CPI-CS07DF0B644	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RA	Q9UHF4	True	I20RA_HUMAN	IL26_receptor	CPI-CS0F1386400	0.001	0.069	0.021	0.001	0.002	0.091	0.0	0.001	0.001
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20_receptor_Type_I	CPI-CS0BB947675	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20_receptor_Type_I	CPI-CS033FF1896	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20_receptor_Type_I	CPI-CS07DF0B644	0.0	0.002	0.004	0.001	0.002	0.004	0.0	0.001	0.001
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20_receptor_Type_II	CPI-CS0AD5A758B	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL20RB	Q6UXL0	True	I20RB_HUMAN	IL20_receptor_Type_II	CPI-CS065C78487	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL22RA1	Q8N6P7	True	I22R1_HUMAN	IL20_receptor_Type_II	CPI-CS0AD5A758B	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL22RA1	Q8N6P7	True	I22R1_HUMAN	IL20_receptor_Type_II	CPI-CS065C78487	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL22RA1	Q8N6P7	True	I22R1_HUMAN	IL22_receptor	CPI-CS0EB4E25E8	0.0	0.001	0.002	0.0	0.0	0.001	0.0	0.0	0.0
IL21R	Q9HBE5	True	IL21R_HUMAN	IL21_receptor	CPI-CS08C1C42FF	0.103	0.009	0.015	0.136	0.009	0.027	0.011	0.138	0.229
IL2RG	P31785	True	IL2RG_HUMAN	IL21_receptor	CPI-CS08C1C42FF	0.103	0.009	0.015	0.136	0.009	0.027	0.011	0.138	0.229
IL2RG	P31785	True	IL2RG_HUMAN	IL2_receptor_HA	CPI-CS0E2BE2DEE	0.031	0.004	0.007	0.01	0.002	0.003	0.005	0.023	0.132
IL2RG	P31785	True	IL2RG_HUMAN	IL2_receptor_I	CPI-CS0EE48BB05	0.031	0.017	0.036	0.016	0.009	0.021	0.013	0.023	0.754
IL2RG	P31785	True	IL2RG_HUMAN	IL4_receptor	CPI-CS0239634F6	0.206	0.043	0.039	0.165	0.089	0.027	0.233	0.278	0.22
IL2RG	P31785	True	IL2RG_HUMAN	IL7_receptor	CPI-CS08B606C20	0.048	0.056	0.072	0.247	0.033	0.027	0.033	0.22	1.27
IL23A	Q9NPF7	True	IL23A_HUMAN	IL23	CPI-CC08EF3C145	0.001	0.001	0.001	0.002	0.0	0.0	0.0	0.0	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL27	CPI-CC0B5110FC9	0.0	0.001	0.001	0.003	0.0	0.001	0.0	0.08	0.0
EBI3	Q14213	True	IL27B_HUMAN	IL35	CPI-CC0D8A77C69	0.017	0.003	0.003	0.0	0.002	0.002	0.005	0.001	0.003
IL27	Q8NEV9	True	IL27A_HUMAN	IL27	CPI-CC0B5110FC9	0.0	0.001	0.001	0.003	0.0	0.001	0.0	0.08	0.0
IFNLR1	Q8IU57	True	INLR1_HUMAN	IL28_receptor	CPI-CS0A9DE033B	0.053	0.007	0.01	0.165	0.001	0.002	0.0	0.033	0.022
IL2RA	P01589	True	IL2RA_HUMAN	IL2_receptor_HA	CPI-CS0E2BE2DEE	0.031	0.004	0.007	0.01	0.002	0.003	0.005	0.023	0.132
IL1RL1	Q01638	True	ILRL1_HUMAN	IL33_receptor	CPI-CS0552A7387	0.0	0.0	0.0	0.0	0.003	0.002	0.038	0.0	0.002
IL1RL2	Q9HB29	True	ILRL2_HUMAN	IL36_receptor	CPI-CS03959C2DF	0.0	0.002	0.005	0.008	0.0	0.008	0.0	0.003	0.0
IL1RL2	Q9HB29	True	ILRL2_HUMAN	IL36_receptor	CPI-CS09B4A8389	0.0	0.002	0.005	0.008	0.0	0.008	0.0	0.003	0.0
SIGIRR	Q6IA17	True	SIGIR_HUMAN	IL37_receptor	CPI-CS0EF619259	0.012	0.005	0.006	0.204	0.023	0.032	0.367	0.008	0.09
IL3RA	P26951	True	IL3RA_HUMAN	IL3_receptor	CPI-CS0784DAA1D	0.005	0.008	0.005	0.554	0.232	0.003	0.019	0.039	0.002
IL5RA	Q01344	True	IL5RA_HUMAN	IL5_receptor	CPI-CS089A1A4BF	0.016	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.004
IL6R	P08887	True	IL6RA_HUMAN	IL6_receptor	CPI-CS023BD53E7	0.085	0.019	0.061	0.384	0.045	0.034	0.129	0.31	0.166
IL7R	P16871	True	IL7RA_HUMAN	IL7_receptor	CPI-CS08B606C20	0.048	0.056	0.072	0.247	0.033	0.027	0.033	0.22	1.27
FGFR1	P11362	True	FGFR1_HUMAN	Klotho_FGFR1	CPI-CS0E318EE6C	0.0	0.002	0.0	0.0	0.064	0.004	0.0	0.003	0.001
KL	Q9UEF7	True	KLOT_HUMAN	Klotho_FGFR1	CPI-CS0E318EE6C	0.0	0.002	0.0	0.0	0.064	0.004	0.0	0.003	0.001
KREMEN1	Q96MU8	True	KREM1_HUMAN	Kremen1_LRP6	CPI-CS087CB7080	0.0	0.012	0.029	0.0	0.01	0.137	0.0	0.003	0.001
KREMEN1	Q96MU8	True	KREM1_HUMAN	Kremen1_LRP6	CPI-CS0F6E83D4B	0.0	0.012	0.029	0.0	0.01	0.137	0.0	0.003	0.001
KREMEN2	Q8NCW0	True	KREM2_HUMAN	Kremen2_LRP6	CPI-CS0D1C23747	0.001	0.002	0.005	0.0	0.0	0.0	0.0	0.0	0.0
KREMEN2	Q8NCW0	True	KREM2_HUMAN	Kremen2_LRP6	CPI-CS0730C30B0	0.001	0.002	0.005	0.0	0.0	0.0	0.0	0.0	0.0
MUSK	O15146	True	MUSK_HUMAN	LRP4_MUSK_complex	CPI-CS04D748A7D	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LRP4	O75096	True	LRP4_HUMAN	LRP4_MUSK_complex	CPI-CS04D748A7D	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS047D9C0D7	0.239	0.241	0.11	0.498	0.303	0.157	0.063	0.532	0.162
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS0F5B070C5	0.239	0.241	0.11	0.498	0.303	0.157	0.063	0.532	0.162
LTA4H	P09960	True	LKHA4_HUMAN	LeukotrieneB4_byLTA4H	CPI-CS0AFE4D0CB	0.239	0.241	0.11	0.498	0.303	0.157	0.063	0.532	0.162
GGT1	P19440	True	GGT1_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0957C3253	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
GGT1	P19440	True	GGT1_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0A0F970F5	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
GGT1	P19440	True	GGT1_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0C4ABE334	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
GGT5	P36269	True	GGT5_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0957C3253	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
GGT5	P36269	True	GGT5_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0A0F970F5	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
GGT5	P36269	True	GGT5_HUMAN	LeukotrieneD4_byGGT1	CPI-CS0C4ABE334	0.005	0.039	0.049	0.012	0.008	0.014	0.029	0.017	0.005
DPEP1	P16444	True	DPEP1_HUMAN	LeukotrieneE4_byDPEP1	CPI-CS0150916A7	0.048	0.001	0.0	0.0	0.021	0.019	0.0	0.0	0.0
DPEP2	Q9H4A9	True	DPEP2_HUMAN	LeukotrieneE4_byDPEP2	CPI-CS048E474A5	0.07	0.005	0.01	0.077	0.008	0.003	0.015	0.155	0.059
DPEP3	Q9H4B8	True	DPEP3_HUMAN	LeukotrieneE4_byDPEP3	CPI-CS0C89AD6A7	0.004	0.0	0.001	0.003	0.0	0.0	0.009	0.002	0.001
ALOX12	P18054	True	LOX12_HUMAN	LipoxinA4_byALOX12	CPI-CS0C1CAC8F7	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0
ALOX12	P18054	True	LOX12_HUMAN	LipoxinA4_byALOX12	CPI-CS0C94B5884	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0
TPO	P07202	True	PERT_HUMAN	Lthyroxine_byTPO	CPI-CS0245870E9	0.0	0.0	0.0	0.0	0.108	0.0	0.0	0.0	0.001
AMHR2	Q16671	True	AMHR2_HUMAN	MIS_receptor_1	CPI-CS0724C54D2	0.0	0.0	0.0	0.0	0.0	0.0	0.236	0.0	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS_receptor_2	CPI-CS0F32EB9F1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS_receptor_3	CPI-CS0B5D1E156	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS088059426	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS0125C709C	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS06BF2DA72	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS0EFC3DBAF	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS0900D8465	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS04AC85773	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS0CF4B0B76	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
KLRK1	P26718	True	NKG2D_HUMAN	NKG2D_II_receptor	CPI-CS036E570BB	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS088059426	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS0125C709C	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS06BF2DA72	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS0EFC3DBAF	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS0900D8465	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS04AC85773	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS0CF4B0B76	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
HCST	Q9UBK5	True	HCST_HUMAN	NKG2D_II_receptor	CPI-CS036E570BB	0.003	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.078
TDGF1	P13385	True	TDGF1_HUMAN	NODAL_receptor_IbIIa_TDGF1	CPI-CS060B4E81F	0.0	0.0	0.002	0.0	0.014	0.0	0.0	0.0	0.0
TDGF1	P13385	True	TDGF1_HUMAN	NODAL_receptor_IbIIb_TDGF1	CPI-CS05AEAC684	0.0	0.0	0.002	0.0	0.014	0.0	0.0	0.0	0.0
TDGF1	P13385	True	TDGF1_HUMAN	NODAL_receptor_IcIIb_TDGF1	CPI-CS02FBABE5A	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0B163FBF9	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0C2C1436F	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0F38E0E82	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0567F5A28	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS03367AA19	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0965866AD	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS0AAB81D2A	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS092C03024	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
DBH	P09172	True	DOPO_HUMAN	Noradrenaline_byDBH	CPI-CS086A43130	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002
OSMR	Q99650	True	OSMR_HUMAN	OSMR	CPI-CS06D50EBF8	0.002	0.027	0.059	0.0	0.202	0.321	0.0	0.007	0.003
PDGFRA	P16234	True	PGFRA_HUMAN	PDGFR_complex	CPI-CS061152023	0.002	0.024	0.038	0.001	0.012	0.578	0.0	0.01	0.004
